,ds,y,consumer_price_index,GDP_US,inflation,covid_US,covid_EU
1744,2016-09-08,1.1241008043289185,240.545,18821.359,1.49,0.0,0.0
1745,2016-09-09,1.1271415948867798,240.545,18821.359,1.47,0.0,0.0
1746,2016-09-12,1.1241133213043213,240.545,18821.359,1.46,0.0,0.0
1747,2016-09-13,1.1243535280227661,240.545,18821.359,1.46,0.0,0.0
1748,2016-09-14,1.12186861038208,240.545,18821.359,1.47,0.0,0.0
1749,2016-09-15,1.1247328519821167,241.176,18821.359,1.45,0.0,0.0
1750,2016-09-16,1.124593734741211,241.176,18821.359,1.47,0.0,0.0
1751,2016-09-19,1.1158473491668701,241.176,18821.359,1.47,0.0,0.0
1752,2016-09-20,1.118067979812622,241.176,18821.359,1.49,0.0,0.0
1753,2016-09-21,1.1153992414474487,241.176,18821.359,1.51,0.0,0.0
1754,2016-09-22,1.1193194389343262,241.176,18821.359,1.52,0.0,0.0
1755,2016-09-23,1.1210134029388428,241.176,18821.359,1.5,0.0,0.0
1756,2016-09-26,1.123923897743225,241.176,18821.359,1.51,0.0,0.0
1757,2016-09-27,1.124985933303833,241.176,18821.359,1.49,0.0,0.0
1758,2016-09-28,1.121956706047058,241.176,18821.359,1.49,0.0,0.0
1759,2016-09-29,1.1224982738494873,241.176,18821.359,1.49,0.0,0.0
1760,2016-09-30,1.121956706047058,241.176,18821.359,1.51,0.0,0.0
1761,2016-10-03,1.1234692335128784,241.176,18821.359,1.5,0.0,0.0
1762,2016-10-04,1.121038556098938,241.176,18821.359,1.49,0.0,0.0
1763,2016-10-05,1.121076226234436,241.176,18821.359,1.51,0.0,0.0
1764,2016-10-06,1.120824933052063,241.176,18821.359,1.55,0.0,0.0
1765,2016-10-07,1.1144545078277588,241.176,18821.359,1.57,0.0,0.0
1766,2016-10-10,1.1196954250335693,241.176,18821.359,1.54,0.0,0.0
1767,2016-10-11,1.1140819787979126,241.176,18821.359,1.52,0.0,0.0
1768,2016-10-12,1.1061947345733643,241.176,18821.359,1.56,0.0,0.0
1769,2016-10-13,1.1011881828308105,241.176,18821.359,1.54,0.0,0.0
1770,2016-10-14,1.1049723625183105,241.176,18821.359,1.6,0.0,0.0
1771,2016-10-17,1.0967799425125122,241.741,19032.58,1.63,0.0,0.0
1772,2016-10-18,1.1015641689300537,241.741,19032.58,1.62,0.0,0.0
1773,2016-10-19,1.0976948738098145,241.741,19032.58,1.62,0.0,0.0
1774,2016-10-20,1.0975141525268555,241.741,19032.58,1.64,0.0,0.0
1775,2016-10-21,1.0930395126342773,241.741,19032.58,1.63,0.0,0.0
1776,2016-10-24,1.0882576704025269,241.741,19032.58,1.63,0.0,0.0
1777,2016-10-25,1.0875475406646729,241.741,19032.58,1.64,0.0,0.0
1778,2016-10-26,1.0887316465377808,241.741,19032.58,1.64,0.0,0.0
1779,2016-10-27,1.091202735900879,241.741,19032.58,1.63,0.0,0.0
1780,2016-10-28,1.0900371074676514,241.741,19032.58,1.67,0.0,0.0
1781,2016-10-31,1.0984665155410767,241.741,19032.58,1.68,0.0,0.0
1782,2016-11-01,1.0973334312438965,241.741,19032.58,1.66,0.0,0.0
1783,2016-11-02,1.1057054996490479,241.741,19032.58,1.68,0.0,0.0
1784,2016-11-03,1.1097548007965088,241.741,19032.58,1.68,0.0,0.0
1785,2016-11-04,1.1102476119995117,241.741,19032.58,1.67,0.0,0.0
1786,2016-11-07,1.1101243495941162,241.741,19032.58,1.66,0.0,0.0
1787,2016-11-08,1.1052166223526,241.741,19032.58,1.7,0.0,0.0
1788,2016-11-09,1.1019041538238525,241.741,19032.58,1.71,0.0,0.0
1789,2016-11-10,1.0920606851577759,241.741,19032.58,1.72,0.0,0.0
1790,2016-11-11,1.0889687538146973,241.741,19032.58,1.73,0.0,0.0
1791,2016-11-14,1.0824854373931885,241.741,19032.58,1.73,0.0,0.0
1792,2016-11-15,1.0750375986099243,242.026,19032.58,1.72,0.0,0.0
1793,2016-11-16,1.0727311372756958,242.026,19032.58,1.7,0.0,0.0
1794,2016-11-17,1.0706638097763062,242.026,19032.58,1.68,0.0,0.0
1795,2016-11-18,1.062304139137268,242.026,19032.58,1.68,0.0,0.0
1796,2016-11-21,1.0584250688552856,242.026,19032.58,1.71,0.0,0.0
1797,2016-11-22,1.0638864040374756,242.026,19032.58,1.73,0.0,0.0
1798,2016-11-23,1.0633772611618042,242.026,19032.58,1.82,0.0,0.0
1799,2016-11-24,1.0545185804367065,242.026,19032.58,1.88,0.0,0.0
1800,2016-11-25,1.0561892986297607,242.026,19032.58,1.88,0.0,0.0
1801,2016-11-28,1.0612331628799438,242.026,19032.58,1.83,0.0,0.0
1802,2016-11-29,1.062134861946106,242.026,19032.58,1.82,0.0,0.0
1803,2016-11-30,1.0648492574691772,242.026,19032.58,1.83,0.0,0.0
1804,2016-12-01,1.0592098236083984,242.026,19032.58,1.87,0.0,0.0
1805,2016-12-02,1.0663141012191772,242.026,19032.58,1.9,0.0,0.0
1806,2016-12-05,1.0582010746002197,242.026,19032.58,1.91,0.0,0.0
1807,2016-12-06,1.0757315158843994,242.026,19032.58,1.9,0.0,0.0
1808,2016-12-07,1.0720411539077759,242.026,19032.58,1.92,0.0,0.0
1809,2016-12-08,1.0761945247650146,242.026,19032.58,1.92,0.0,0.0
1810,2016-12-09,1.062134861946106,242.026,19032.58,1.89,0.0,0.0
1811,2016-12-12,1.0547411441802979,242.026,19032.58,1.85,0.0,0.0
1812,2016-12-13,1.0641694068908691,242.026,19032.58,1.86,0.0,0.0
1813,2016-12-14,1.062925100326538,242.026,19032.58,1.94,0.0,0.0
1814,2016-12-15,1.051414132118225,242.637,19032.58,1.97,0.0,0.0
1815,2016-12-16,1.0418837070465088,242.637,19032.58,1.91,0.0,0.0
1816,2016-12-19,1.0449975728988647,242.637,19032.58,1.94,0.0,0.0
1817,2016-12-20,1.0405826568603516,242.637,19032.58,1.95,0.0,0.0
1818,2016-12-21,1.039047360420227,242.637,19032.58,1.92,0.0,0.0
1819,2016-12-22,1.0428615808486938,242.637,19032.58,1.95,0.0,0.0
1820,2016-12-23,1.0437650680541992,242.637,19032.58,1.96,0.0,0.0
1821,2016-12-26,1.045478343963623,242.637,19032.58,1.98,0.0,0.0
1822,2016-12-27,1.0456969738006592,242.637,19032.58,1.95,0.0,0.0
1823,2016-12-28,1.046233057975769,242.637,19032.58,1.94,0.0,0.0
1824,2016-12-29,1.0416991710662842,242.637,19032.58,1.9,0.0,0.0
1825,2016-12-30,1.0575296878814697,242.637,19032.58,1.86,0.0,0.0
1826,2017-01-02,1.052698016166687,242.637,19032.58,1.86,0.0,0.0
1827,2017-01-03,1.0460032224655151,242.637,19032.58,1.9,0.0,0.0
1828,2017-01-04,1.0419923067092896,242.637,19032.58,1.91,0.0,0.0
1829,2017-01-05,1.0500892400741577,242.637,19032.58,1.95,0.0,0.0
1830,2017-01-06,1.0605915784835815,242.637,19032.58,1.97,0.0,0.0
1831,2017-01-09,1.0531858205795288,242.637,19032.58,1.97,0.0,0.0
1832,2017-01-10,1.0588620901107788,242.637,19032.58,1.99,0.0,0.0
1833,2017-01-11,1.0552419424057007,242.637,19032.58,1.95,0.0,0.0
1834,2017-01-12,1.0597710609436035,242.637,19032.58,1.94,0.0,0.0
1835,2017-01-13,1.0616837739944458,242.637,19032.58,1.95,0.0,0.0
1836,2017-01-16,1.0628687143325806,243.62,19237.435,1.95,0.0,0.0
1837,2017-01-17,1.0602991580963135,243.62,19237.435,1.98,0.0,0.0
1838,2017-01-18,1.0696789026260376,243.62,19237.435,1.99,0.0,0.0
1839,2017-01-19,1.062778353691101,243.62,19237.435,1.95,0.0,0.0
1840,2017-01-20,1.0659730434417725,243.62,19237.435,1.96,0.0,0.0
1841,2017-01-23,1.0713750123977661,243.62,19237.435,1.95,0.0,0.0
1842,2017-01-24,1.0760787725448608,243.62,19237.435,1.95,0.0,0.0
1843,2017-01-25,1.0728693008422852,243.62,19237.435,1.99,0.0,0.0
1844,2017-01-26,1.0751993656158447,243.62,19237.435,1.98,0.0,0.0
1845,2017-01-27,1.068296194076538,243.62,19237.435,1.99,0.0,0.0
1846,2017-01-30,1.0713980197906494,243.62,19237.435,1.99,0.0,0.0
1847,2017-01-31,1.0708587169647217,243.62,19237.435,1.97,0.0,0.0
1848,2017-02-01,1.0803803205490112,243.62,19237.435,2.0,0.0,0.0
1849,2017-02-02,1.0767391920089722,243.62,19237.435,2.04,0.0,0.0
1850,2017-02-03,1.0761713981628418,243.62,19237.435,2.04,0.0,0.0
1851,2017-02-06,1.0782949924468994,243.62,19237.435,2.02,0.0,0.0
1852,2017-02-07,1.0743216276168823,243.62,19237.435,2.06,0.0,0.0
1853,2017-02-08,1.0678056478500366,243.62,19237.435,2.08,0.0,0.0
1854,2017-02-09,1.0692213773727417,243.62,19237.435,2.08,0.0,0.0
1855,2017-02-10,1.0658594369888306,243.62,19237.435,2.08,0.0,0.0
1856,2017-02-13,1.061954379081726,243.62,19237.435,2.07,0.0,0.0
1857,2017-02-14,1.059849739074707,243.62,19237.435,2.05,0.0,0.0
1858,2017-02-15,1.0578316450119019,243.872,19237.435,2.05,0.0,0.0
1859,2017-02-16,1.0607378482818604,243.872,19237.435,2.05,0.0,0.0
1860,2017-02-17,1.0672245025634766,243.872,19237.435,2.05,0.0,0.0
1861,2017-02-20,1.062665343284607,243.872,19237.435,2.02,0.0,0.0
1862,2017-02-21,1.0609403848648071,243.872,19237.435,2.0,0.0,0.0
1863,2017-02-22,1.0542073249816895,243.872,19237.435,1.96,0.0,0.0
1864,2017-02-23,1.0554089546203613,243.872,19237.435,1.99,0.0,0.0
1865,2017-02-24,1.0584474802017212,243.872,19237.435,2.01,0.0,0.0
1866,2017-02-27,1.055275321006775,243.872,19237.435,2.0,0.0,0.0
1867,2017-02-28,1.0584250688552856,243.872,19237.435,2.01,0.0,0.0
1868,2017-03-01,1.0569148063659668,243.872,19237.435,2.06,0.0,0.0
1869,2017-03-02,1.0535852909088135,243.872,19237.435,2.02,0.0,0.0
1870,2017-03-03,1.0509721040725708,243.872,19237.435,2.01,0.0,0.0
1871,2017-03-06,1.062044620513916,243.872,19237.435,2.01,0.0,0.0
1872,2017-03-07,1.0579211711883545,243.872,19237.435,2.03,0.0,0.0
1873,2017-03-08,1.0570154190063477,243.872,19237.435,2.04,0.0,0.0
1874,2017-03-09,1.0547411441802979,243.872,19237.435,2.03,0.0,0.0
1875,2017-03-10,1.0578428506851196,243.872,19237.435,2.0,0.0,0.0
1876,2017-03-13,1.0690041780471802,243.872,19237.435,2.01,0.0,0.0
1877,2017-03-14,1.0651443004608154,243.872,19237.435,2.02,0.0,0.0
1878,2017-03-15,1.0612443685531616,243.766,19237.435,2.03,0.0,0.0
1879,2017-03-16,1.0737909078598022,243.766,19237.435,2.01,0.0,0.0
1880,2017-03-17,1.077470064163208,243.766,19237.435,2.04,0.0,0.0
1881,2017-03-20,1.0742985010147095,243.766,19237.435,2.01,0.0,0.0
1882,2017-03-21,1.073767900466919,243.766,19237.435,2.03,0.0,0.0
1883,2017-03-22,1.081244707107544,243.766,19237.435,2.01,0.0,0.0
1884,2017-03-23,1.0790164470672607,243.766,19237.435,2.0,0.0,0.0
1885,2017-03-24,1.0783880949020386,243.766,19237.435,2.01,0.0,0.0
1886,2017-03-27,1.0849517583847046,243.766,19237.435,2.01,0.0,0.0
1887,2017-03-28,1.0860947370529175,243.766,19237.435,1.99,0.0,0.0
1888,2017-03-29,1.0817711353302002,243.766,19237.435,2.01,0.0,0.0
1889,2017-03-30,1.0759629011154175,243.766,19237.435,2.02,0.0,0.0
1890,2017-03-31,1.0687072277069092,243.766,19237.435,2.01,0.0,0.0
1891,2017-04-03,1.0668829679489136,243.766,19237.435,2.0,0.0,0.0
1892,2017-04-04,1.067008137702942,243.766,19237.435,1.98,0.0,0.0
1893,2017-04-05,1.0680338144302368,243.766,19237.435,1.97,0.0,0.0
1894,2017-04-06,1.0672472715377808,243.766,19237.435,1.95,0.0,0.0
1895,2017-04-07,1.0644639730453491,243.766,19237.435,1.98,0.0,0.0
1896,2017-04-10,1.0582010746002197,243.766,19237.435,1.97,0.0,0.0
1897,2017-04-11,1.0597598552703857,243.766,19237.435,1.97,0.0,0.0
1898,2017-04-12,1.0611318349838257,243.766,19237.435,1.98,0.0,0.0
1899,2017-04-13,1.0670650005340576,243.766,19237.435,1.96,0.0,0.0
1900,2017-04-14,1.0616387128829956,243.766,19237.435,1.97,0.0,0.0
1901,2017-04-17,1.0610530376434326,244.274,19379.232,1.96,0.0,0.0
1902,2017-04-18,1.0644525289535522,244.274,19379.232,1.96,0.0,0.0
1903,2017-04-19,1.0728693008422852,244.274,19379.232,1.97,0.0,0.0
1904,2017-04-20,1.0715012550354004,244.274,19379.232,1.95,0.0,0.0
1905,2017-04-21,1.0714898109436035,244.274,19379.232,1.94,0.0,0.0
1906,2017-04-24,1.087393879890442,244.274,19379.232,1.93,0.0,0.0
1907,2017-04-25,1.0864840745925903,244.274,19379.232,1.91,0.0,0.0
1908,2017-04-26,1.0928245782852173,244.274,19379.232,1.9,0.0,0.0
1909,2017-04-27,1.090893268585205,244.274,19379.232,1.92,0.0,0.0
1910,2017-04-28,1.0864251852035522,244.274,19379.232,1.92,0.0,0.0
1911,2017-05-01,1.0907504558563232,244.274,19379.232,1.88,0.0,0.0
1912,2017-05-02,1.090893268585205,244.274,19379.232,1.85,0.0,0.0
1913,2017-05-03,1.0935654640197754,244.274,19379.232,1.85,0.0,0.0
1914,2017-05-04,1.0888975858688354,244.274,19379.232,1.85,0.0,0.0
1915,2017-05-05,1.098152995109558,244.274,19379.232,1.84,0.0,0.0
